bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"-73.9510490727,40.8384803903,-73.944486087,40.8429585012",uuuu,85633793,,f8d525c0034bff410c5bdd37e2840415,,8f02a942881db7b49812e2a521ab247c,40.840509,-73.947405,1108912965,uuuu,US,US,1490900131,0,0,85977539,W 163rd St  & Riverside Dr,85854625,110/891/296/5/1108912965.geojson,intersection,85688543,mapzen,,,US
"-73.9343159167,40.8573359926,-73.9324165478,40.8594766496",uuuu,85633793,,5418c923bbf33410bee6cfc18d5e64c8,,381c5a3cb5312516894e3c538140032a,40.858272,-73.933166,1108912967,uuuu,US,US,1490900131,0,0,85977539,Bennett Ave  & W 192nd St,907214331,110/891/296/7/1108912967.geojson,intersection,85688543,mapzen,,,US
"-73.9610023089,40.8178176066,-73.9603526618,40.8186134302",uuuu,85633793,,6df131b15deb652decf58e95e5683c26,,fbd866c41aded1346d4e8fb1033ed568,40.818172,-73.960618,1108912963,uuuu,US,US,1490900131,0,0,85977539,W 125th St  & 12th Ave,85869313,110/891/296/3/1108912963.geojson,intersection,85688543,mapzen,,,US
"-73.9427616795,40.8263887004,-73.9418884731,40.8276305935",uuuu,85633793,,d1de3e33735d896533350f13ea966070,,23a03d5cc8d2404ebcb26c279cca75b3,40.827058,-73.942331,1108912961,uuuu,US,US,1490900131,0,0,85977539,St Nicholas Pl  & W 150th St,907215743,110/891/296/1/1108912961.geojson,intersection,85688543,mapzen,,,US
"-73.9450232135,40.833489753,-73.9429894421,40.8354083061",uuuu,85633793,,440bcffd430dce8220b35703a2822d40,,6bcada6195e85db876aa0728da67bb04,40.834423,-73.944055,1108912969,uuuu,US,US,1490900131,0,0,85977539,Broadway  & W 158th St,85854625,110/891/296/9/1108912969.geojson,intersection,85688543,mapzen,,,US
"-73.9892017108,40.741751819,-73.9881798027,40.7426914383",uuuu,85633793,,125f2cd508d78bc67bad604b15b0e75c,,d869eb66f28cd0cdad3c172b83d1bd28,40.742166,-73.98875,1108912745,uuuu,US,US,1490900131,0,0,85977539,Broadway  & 5th Ave,85869245,110/891/274/5/1108912745.geojson,intersection,85688543,mapzen,,,US
"-73.9472719621,40.8312945663,-73.9443778419,40.8337961055",uuuu,85633793,,1f541c104aa77ea5a0746647bc75f825,,2f0e8634175e96acdb2119b55c12f68b,40.832538,-73.945837,1108912747,uuuu,US,US,1490900131,0,0,85977539,Broadway  & W 155th St,85869313,110/891/274/7/1108912747.geojson,intersection,85688543,mapzen,,,US
"-73.9744005669,40.7884216568,-73.9721722264,40.7903418418",uuuu,85633793,,5eaf1bb059304d43da3187cc4d09d922,,ae0999c220e2cd409ea9de2165393244,40.789395,-73.973303,1108912741,uuuu,US,US,1490900131,0,0,85977539,Amsterdam Ave  & W 89th St,85853285,110/891/274/1/1108912741.geojson,intersection,85688543,mapzen,,,US
"-73.9626214438,40.7833184198,-73.9576803123,40.7871195068",uuuu,85633793,,4a0f84ecab87cea1035f455acfa96571,,8e8b22e025e94d3b354680fee068c4ea,40.785264,-73.960167,1108912749,uuuu,US,US,1490900131,0,0,85977539,E 90th St  & 5th Ave,420529187,110/891/274/9/1108912749.geojson,intersection,85688543,mapzen,,,US
"-73.9557572142,40.8120413883,-73.9541447083,40.8142522913",uuuu,85633793,,76820d82bb68cb3e2d15058cfc4824fb,,0a3857de67a225f579ce10530b9ba824,40.813239,-73.954937,1108911885,uuuu,US,US,1490900131,0,0,85977539,W 127th St  & W 126th St,85869313,110/891/188/5/1108911885.geojson,intersection,85688543,mapzen,,,US
"-73.9278185431,40.8564146874,-73.9257863667,40.8582829875",uuuu,85633793,,67becedb21471ae0ee3bcfb3e6037253,,2ec244781351742def8eb64a2b45d06b,40.857501,-73.926927,1108911887,uuuu,US,US,1490900131,0,0,85977539,Fort George Ave  & Audubon Ave,907212535,110/891/188/7/1108911887.geojson,intersection,85688543,mapzen,,,US
"-73.941534332,40.804909222,-73.9397540325,40.8065448941",uuuu,85633793,,8b12e6783d842d75f44dbb62825ddd3f,,c75bb5ab03c736768af67600bbff6563,40.80573,-73.940644,1108911883,uuuu,US,US,1490900131,0,0,85977539,Madison Ave  & E 125th St,85865689,110/891/188/3/1108911883.geojson,intersection,85688543,mapzen,,,US
